OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
2513700,498225,629542,58.99,67.65,34.40,3150,67.65,67.90,525,9500.00,150,180.45,182.65,150,-139.35,179.25,57.53,151298,145125,477975
270450,129825,79855,59.73,53.50,27.40,75,53.20,53.50,975,9550.00,75,214.15,220.00,300,-141.85,218.55,57.36,3911,14550,16275
1896750,723075,480383,60.29,41.15,20.80,3450,41.10,41.50,7575,9600.00,75,253.00,257.00,2025,-154.25,257.00,58.37,23353,36675,55200
278550,143100,65786,61.17,32.00,15.80,750,32.00,34.00,75,9650.00,225,293.40,330.65,75,-150.60,292.35,55.76,872,5250,5700
1632525,814350,359127,62.50,25.05,12.25,75,25.05,25.55,600,9700.00,75,335.45,343.40,150,-163.30,341.00,59.81,7118,18975,38850
217500,115275,64555,64.49,20.50,10.50,75,20.00,20.50,1125,9750.00,75,364.45,400.25,75,-204.75,360.85,-,35,450,525
1438125,494175,315861,66.37,17.40,9.50,75,17.40,17.50,10800,9800.00,75,427.80,433.95,300,-146.40,428.60,64.13,1600,10125,17700
146925,44175,40678,68.54,14.00,7.60,75,13.85,14.90,75,9850.00,300,473.15,500.45,1050,-187.60,475.25,56.60,11,225,300
758550,304050,201819,70.14,11.40,6.45,75,11.40,11.70,1425,9900.00,225,521.70,548.90,75,-143.40,521.40,62.34,360,4350,5700
145275,101325,26053,72.07,9.70,5.75,2175,9.55,9.80,150,9950.00,75,548.65,614.10,75,-217.40,524.05,-,26,1575,1650
1909200,468600,319215,73.96,7.90,4.35,825,7.85,7.90,4125,10000.00,1200,562.55,645.60,75,-152.40,624.10,71.14,433,3375,10725
56475,22200,13640,75.94,6.50,3.40,1650,6.50,6.65,1200,10050.00,75,618.90,722.20,75,-,-,-,-,-,-
662325,191925,83758,77.22,5.40,3.10,75,5.15,5.40,5700,10100.00,1425,689.95,728.30,150,-,-,-,-,-,150
44475,31050,5128,78.16,4.10,2.30,150,3.55,4.30,225,10150.00,75,737.85,776.40,450,-,-,-,-,-,-
742725,604800,64538,80.72,3.75,2.10,750,3.65,3.75,2250,10200.00,75,788.45,825.20,2175,-,-,-,-,-,-
14025,7200,2600,81.62,3.50,2.00,525,2.35,3.35,75,10250.00,7350,771.75,913.65,7350,-29.80,832.00,-,1,75,75
273300,182100,37584,81.92,2.35,1.00,75,2.25,2.35,4575,10300.00,1200,789.35,964.20,75,-,-,-,-,-,-
19275,19275,597,82.36,1.80,-271.15,375,2.00,2.50,825,10350.00,7350,841.20,1039.30,7350,-,-,-,-,-,-
126000,93525,16526,86.17,1.60,0.55,1500,1.60,1.65,150,10400.00,1125,964.30,1066.70,750,-10.90,955.50,-,1,75,75
12600,9525,413,90.29,1.85,0.80,75,1.25,1.85,975,10450.00,7350,933.60,1143.85,7350,-,-,-,-,-,-
